Section,Detail,Updated,Status
PROPERTY OVERVIEW,60×1BR/1BA (765sf) + 60×2BR/1BA (890sf) = 120 units,,
PROPERTY OVERVIEW,50 units renovated / 70 classic or mid-tier,,
PROPERTY OVERVIEW,"5 residential 24-unit bldgs, 6 garage bldgs, 1 clubhouse",,
PROPERTY OVERVIEW,"126 total (120 resident, 6 maintenance)",,
PROPERTY OVERVIEW,Current Condition & History,Updated,Status
ROOFS,Flat rubber membrane EPDM roofs,,
ROOFS,4/5 roofs replaced w/ transferrable 30-yr warranty,2018,Good
ROOFS,Remaining older roof replaced,2009,Monitor
ELECTRICAL,100 amp service throughout,1993,Good
ELECTRICAL,Exterior LED lighting systems,2018,Good
ELECTRICAL,Security systems,2019,Good
HVAC / WATER / FIRE,120v sleeve AC units,Original,Monitor
HVAC / WATER / FIRE,Boilers — 7/10 replaced since 2017,2017+,Good
HVAC / WATER / FIRE,Baseboard heat in units,1993,Good
HVAC / WATER / FIRE,Rheem 100G water heaters — all replaced within 6 yrs,2019+,Good
HVAC / WATER / FIRE,New fire control panels,Recent,Good
PLUMBING,Water mains replaced within 8 years,2017+,Good
PLUMBING,Majority Pex/Copper piping,Recent,Good
PAVEMENT,"Patching, seal coating, striping",2023,Good
PAVEMENT,Fresh patching + seal coat planned,2025,Good
CONCRETE / LANDSCAPING,Sidewalks replaced,2019,Good
CONCRETE / LANDSCAPING,French drains on 4/5 buildings,2019/23,Good
GARAGES,126 garages — repainted,2022,Good
WINDOWS / DOORS,Double-paned glass throughout — partially updated,Original,Watch
EXTERIOR,"All brick — no issues, good condition",1967,Good
EXTERIOR,Building painting planned for curb appeal,Planned,Planned
INTERIOR / COMMON,"New common spaces — flooring, paint, lighting",2024,Good
INTERIOR / COMMON,Entryways replaced,2018,Good
